經度緯度,電流強度(kA)0
25.228479385376118.939140319824,-44.4370
25.2534446716309118.91919708252,-22.9030
25.2288646697998118.920204162598,-15.4290
25.2268924713135118.899116516113,-41.3290
25.1278686523438119.019462585449,-16.85350
25.1773681640625118.981513977051,-63.5290
24.8827121.9111,-0
24.8248121.7486,-0
25.2660179138184118.856674194336,-22.1260
25.0934085845947119.13939666748,-12.08050
25.2373485565186118.873352050781,-9.67550
25.2153358459473118.900550842285,-11.59950
24.9078121.9403,-0
24.9085121.9286,-0
25.2920551300049118.829025268555,-30.95050
25.2364521026611118.844909667969,-24.9010
25.2388687133789118.848434448242,-15.9470
25.2369346618652118.883155822754,-34.8170
25.2130527496338118.901008605957,-31.9680
25.2212009429932118.891151428223,-28.10150
25.2524604797363118.889274597168,-11.59950
24.8537121.5848,-0
24.8491121.6024,-0
24.8278121.6217,-0
24.817121.6282,-0
25.2604141235352118.836807250977,-22.44050
25.2072582244873118.944480895996,11.6180
25.2420806884766118.866424560547,-57.33150
25.2416038513184118.868843078613,-45.89850
25.2632942199707118.730941772461,22.4960
25.2621688842773118.875045776367,-31.87550
25.2217769622803118.886383056641,-40.12650
25.2311248779297118.906288146973,-45.41750
25.2543411254883118.907333374023,15.5030
25.2482109069824118.902488708496,-29.5260
25.2612323760986118.888038635254,-12.33950
24.7669120.2438,-0
25.2309818267822118.902503967285,-14.89250
24.8978121.9073,-0
24.8989121.9195,-0
24.9222122.0061,-0
24.9047121.8625,-0
25.2376918792725118.8876953125,-30.3030
25.2477397918701119.104881286621,-101.6390
24.9036121.9396,-0
24.9823122.1419,-0
24.9031121.899,-0
24.8124121.6919,-0
24.8204121.6857,-0
25.1169986724854118.886260986328,-22.88450
25.1581897735596118.907989501953,-14.2450
24.764120.2712,-0
24.7668120.2602,-0
25.2251472473145118.81224822998,-31.450
25.2524108886719118.951393127441,20.22050
25.2166748046875118.915367126465,-10.2490
25.1805324554443118.922462463379,-16.22450
25.1863327026367118.929176330566,-79.23550
25.1580657958984118.932502746582,-33.31850
25.3176193237305118.805755615234,-44.5110
25.1635723114014118.936676025391,-25.51150
24.380672454834119.63208770752,-7.01150
24.3411119.3208,-0
25.1522254943848118.959358215332,-21.090
25.18337059021119.008407592773,11.9880
24.7591121.6548,-0
24.7637121.7023,-0
24.7606121.6885,-0
24.7658121.6446,-0
25.2304363250732118.940719604492,14.060
24.7795121.8697,-0
24.7937121.8919,-0
24.9308567047119118.981307983398,-15.15150
25.0438537597656118.992301940918,10.04550
25.0414295196533118.919548034668,-13.59750
26.1647338867188121.248497009277,-20.9420
24.9919121.4925,-0
24.881462097168121.580184936523,-5.3280
25.0023121.507,-0
24.6798121.9325,-0
25.4424122.1293,-0
25.5499122.2197,-0
25.4564122.093,-0
24.6876121.938,-0
24.732121.9697,-0
25.0168121.4688,-0
24.9803121.511,-0
24.9721121.5208,-0
24.9957121.4771,-0
25.0453121.4961,-0
25.6054122.1811,-0
24.7079121.949,-0
24.6691121.9171,-0
25.0161121.4837,-0
25.0168121.4629,-0
25.5396122.1451,-0
25.0199121.4818,-0
25.0291121.4733,-0
25.0275121.4692,-0
24.9876121.5045,-0
24.9954121.4907,-0
25.014121.4658,-0
24.9987121.4821,-0
24.9979121.5191,-0
25.6682122.1307,-0
25.5474121.9952,-0
24.3817121.7958,-0
25.0233121.4644,-0
25.0221121.4815,-0
25.0122121.4837,-0
25.017121.4714,-0
25.0125121.4765,-0
24.9983121.4935,-0
25.0287121.4662,-0
25.0224121.4734,-0
25.014121.4934,-0
25.0037121.4917,-0
25.0115121.4744,-0
25.0162121.4655,-0
25.0179121.4894,-0
25.0248121.4816,-0
25.0053121.4913,-0
25.0215121.4639,-0
25.0216121.4805,-0
24.6769121.9322,-0
24.6202121.9134,-0
24.6352121.9257,-0
24.6135121.9277,-0
24.6388121.9402,-0
24.6574121.9277,-0
24.6632121.9271,-0
24.6525121.9241,-0
24.6655121.9348,-0
24.6369121.9143,-0
24.7576121.7628,-0
24.9531121.5379,-0
25.02121.475,-0
25.0082121.4906,-0
25.0238121.4736,-0
25.0131121.4858,-0
25.0303121.4659,-0
25.0133121.4891,-0
25.0205121.4792,-0
25.3508121.9503,-0
25.6728122.2084,-0
